region;species;common_name;flat_round
North Sea;Sprattus sprattus;Sprat;r
North Sea;Trisopterus esmarkii;Norway pout;r
North Sea;Agonus cataphractus;Hooknose;r
North Sea;Trisopterus luscus;Pouting;r
North Sea;Callionymus lyra;Dragonet;r
North Sea;Callionymus maculatus;Spotted dragonet;r
North Sea;Trisopterus minutus;Poor cod;r
North Sea;Scomber scombrus;Atlantic mackerel;r
North Sea;Microstomus kitt;Lemon sole;f
North Sea;Platichthys flesus;European flounder;f
North Sea;Clupea harengus;Atlantic herring;r
North Sea;Hippoglossoides platessoides;American plaice;f
North Sea;Solea solea;Common sole;f
North Sea;Limanda limanda;Common dab;f
North Sea;Argentina sphyraena;Argentine;r
North Sea;Glyptocephalus cynoglossus;Witch flounder;f
North Sea;Merlangius merlangus;Whiting;r
North Sea;Gadus morhua;Atlantic cod;r
North Sea;Melanogrammus aeglefinus;Haddock;r
North Sea;Enchelyopus cimbrius;Fourbeard rockling;r
North Sea;Lophius piscatorius;Angler;r
North Sea;Eutrigla gurnardus;Grey gurnard;r
North Sea;Amblyraja radiata;Starry ray;Ray
North Sea;Pleuronectes platessa;Plaice;f
North Sea;Lepidorhombus whiffiagonis;Megrim;f
North Sea;Merluccius merluccius;European hake;r
North Sea;Pollachius virens;Saithe;r
Scottish West Coast;Sprattus sprattus;Sprat;r
Scottish West Coast;Trisopterus esmarkii;Norway pout;r
Scottish West Coast;Chelidonichthys cuculus;Red gurnard;r
Scottish West Coast;Callionymus lyra;Dragonet;r
Scottish West Coast;Trisopterus minutus;Poor cod;r
Scottish West Coast;Scomber scombrus;Atlantic mackerel;r
Scottish West Coast;Microstomus kitt;Lemon sole;f
Scottish West Coast;Clupea harengus;Atlantic herring;r
Scottish West Coast;Hippoglossoides platessoides;American plaice;f
Scottish West Coast;Limanda limanda;Common dab;f
Scottish West Coast;Argentina sphyraena;Argentine;r
Scottish West Coast;Merlangius merlangus;Whiting;r
Scottish West Coast;Melanogrammus aeglefinus;Haddock;r
Scottish West Coast;Eutrigla gurnardus;Grey gurnard;r
Scottish West Coast;Squalus acanthias;Picked dogfish;r
Scottish West Coast;Pleuronectes platessa;Plaice;f
Scottish West Coast;Scyliorhinus canicula;Lesser spotted dogfish;r
Scottish West Coast;Lepidorhombus whiffiagonis;Megrim;f
Scottish West Coast;Merluccius merluccius;European hake;r
Baltic Sea;Sprattus sprattus;Sprat;r
Baltic Sea;Clupea harengus;Herring;r
Eastern Bering Sea;Gadus chalcogrammus;Walleye pollock;r
Eastern Bering Sea;Gadus macrocephalus;Pacific cod;r
Eastern Bering Sea;Hippoglossoides elassodon;Flathead sole;f
Eastern Bering Sea;Atheresthes stomias;Arrowtooth flounder;f
Eastern Bering Sea;Limanda aspera;Yellowfin sole;f
Eastern Bering Sea;Pleuronectes quadrituberculatus;Alaska plaice;f
Eastern Bering Sea;Reinhardtius hippoglossoides;Greenland turbot;f
Eastern Bering Sea;Hippoglossus stenolepis;Pacific halibut;f
