"region","species","year","size_group_1","size_group_2","entity_1_count_mA","entity_2_count_mB","obs_cooccur_X","total_N","p_value","exp_cooccur","alpha_mle","alpha_medianInt","conf_level","ci_blaker","ci_cp","ci_midQ","ci_midP","jaccard","sorensen","simpson","errornote"
"North Sea","Agonus cataphractus","1982","1","2",4,3,2,198,"9e-04",0.061,5.015,"[4.18, 5.85]",0.95,"[2.205, 8.629]","[1.785, 9.343]","[2.609, 7.968]","[2.187, 8.641]",0.4,0.571,0.667,NA
"North Sea","Agonus cataphractus","1982","1","3",4,7,3,198,"1e-04",0.141,4.806,"[4.097, 5.482]",0.95,"[2.422, 8.212]","[2.089, 8.923]","[2.678, 7.639]","[2.395, 8.228]",0.375,0.545,0.75,NA
"North Sea","Agonus cataphractus","1982","1","4",4,4,1,198,"0.079",0.081,2.991,"[2.264, 3.737]",0.95,"[-0.479, 5.539]","[-1.191, 5.9]","[0.114, 5.229]","[-0.494, 5.563]",0.143,0.25,0.25,NA
"North Sea","Agonus cataphractus","1982","1","5",4,3,1,198,"0.0597",0.061,3.377,"[2.579, 4.18]",0.95,"[-0.185, 6.17]","[-0.897, 6.594]","[0.444, 5.781]","[-0.198, 6.19]",0.167,0.286,0.333,NA
"North Sea","Agonus cataphractus","1982","2","3",3,7,2,198,"0.0032",0.106,4.216,"[3.46, 4.955]",0.95,"[1.543, 7.7]","[1.129, 8.412]","[1.881, 7.103]","[1.52, 7.715]",0.25,0.4,0.667,NA
"North Sea","Agonus cataphractus","1982","2","4",3,4,1,198,"0.0597",0.061,3.377,"[2.579, 4.18]",0.95,"[-0.185, 6.17]","[-0.897, 6.594]","[0.444, 5.781]","[-0.198, 6.19]",0.167,0.286,0.333,NA
"North Sea","Agonus cataphractus","1982","2","5",3,3,1,198,"0.045",0.045,3.752,"[2.89, 4.61]",0.95,"[0.11, 6.684]","[-0.604, 7.12]","[0.773, 6.236]","[0.098, 6.701]",0.2,0.333,0.333,NA
"North Sea","Agonus cataphractus","1982","3","4",7,4,1,198,"0.1351",0.141,2.312,"[1.662, 3.003]",0.95,"[-1.057, 4.677]","[-1.767, 5.011]","[-0.502, 4.432]","[-1.073, 4.705]",0.1,0.182,0.25,NA
"North Sea","Agonus cataphractus","1982","3","5",7,3,1,198,"0.1029",0.106,2.71,"[1.98, 3.46]",0.95,"[-0.762, 5.379]","[-1.474, 5.794]","[-0.172, 5.044]","[-0.777, 5.402]",0.111,0.2,0.333,NA
"North Sea","Agonus cataphractus","1982","4","5",4,3,1,198,"0.0597",0.061,3.377,"[2.579, 4.18]",0.95,"[-0.185, 6.17]","[-0.897, 6.594]","[0.444, 5.781]","[-0.198, 6.19]",0.167,0.286,0.333,NA
"North Sea","Agonus cataphractus","1983","1","2",7,7,3,198,"9e-04",0.247,3.484,"[3.094, 3.873]",0.95,"[1.602, 5.365]","[1.289, 5.65]","[1.729, 5.222]","[1.559, 5.391]",0.273,0.429,0.429,NA
"North Sea","Agonus cataphractus","1983","1","3",7,9,2,198,"0.0344",0.318,2.322,"[1.945, 2.736]",0.95,"[0.218, 4.294]","[-0.18, 4.358]","[0.396, 3.994]","[0.177, 4.137]",0.143,0.25,0.286,NA
"North Sea","Agonus cataphractus","1983","1","4",7,8,2,198,"0.0272",0.283,2.477,"[2.088, 2.9]",0.95,"[0.352, 4.548]","[-0.047, 4.553]","[0.536, 4.175]","[0.312, 4.325]",0.154,0.267,0.286,NA
"North Sea","Agonus cataphractus","1983","1","5",7,4,0,198,"1",0.141,-10,"[-10, 1.662]",0.95,"[-10, 3.561]","[-10, 3.853]","[-5.884, -3.074]","[-10, 3.526]",0,0,0,NA
