"region","species","yearqua","cpue_year","num_subarea_all_length","mean_prop_subarea","mean_num_subarea"
"Baltic Sea","Clupea harengus",1984,15619.673378205,50,0.968,48.4
"Baltic Sea","Clupea harengus",1985,9368.429533685,52,0.976923076923077,50.8
"Baltic Sea","Clupea harengus",1986,16176.419159573,51,0.976470588235294,49.8
"Baltic Sea","Clupea harengus",1987,10878.887082031,49,0.96734693877551,47.4
"Baltic Sea","Clupea harengus",1988,9468.024792368,46,0.995652173913044,45.8
"Baltic Sea","Clupea harengus",1990,17333.457239072,55,0.996363636363636,54.8
"Baltic Sea","Clupea harengus",1991,27105.863884039,45,0.995555555555556,44.8
"Baltic Sea","Clupea harengus",1992,17567.751690416,43,0.995348837209302,42.8
"Baltic Sea","Clupea harengus",1993,7288.912376552,12,0.95,11.4
"Baltic Sea","Clupea harengus",1994,26224.001605861,52,1,52
"Baltic Sea","Clupea harengus",1995,12681.984934391,42,0.980952380952381,41.2
"Baltic Sea","Clupea harengus",1996,18046.292958459,50,0.98,49
"Baltic Sea","Clupea harengus",1997,7543.115411684,31,1,31
"Baltic Sea","Clupea harengus",1998,10577.361946108,51,0.972549019607843,49.6
"Baltic Sea","Clupea harengus",1999,10870.589093314,59,0.983050847457627,58
"Baltic Sea","Clupea harengus",2000,17531.67079535,56,0.985714285714286,55.2
"Baltic Sea","Clupea harengus",2001,11320.293347089,57,0.992982456140351,56.6
"Baltic Sea","Clupea harengus",2002,14513.163117628,54,0.985185185185185,53.2
"Baltic Sea","Clupea harengus",2003,24631.959634003,55,0.989090909090909,54.4
"Baltic Sea","Clupea harengus",2004,15747.283635268,56,1,56
"Baltic Sea","Clupea harengus",2005,20103.842507812,56,0.992857142857143,55.6
"Baltic Sea","Clupea harengus",2006,26535.203575369,55,0.985454545454545,54.2
"Baltic Sea","Clupea harengus",2007,19672.830520798,60,1,60
"Baltic Sea","Clupea harengus",2008,20213.26684587,61,1,61
"Baltic Sea","Clupea harengus",2009,19721.762750926,61,0.99016393442623,60.4
"Baltic Sea","Clupea harengus",2010,18684.781574615,61,1,61
"Baltic Sea","Clupea harengus",2011,25184.679175863,60,0.973333333333333,58.4
"Baltic Sea","Clupea harengus",2012,29165.011536939,60,0.99,59.4
"Baltic Sea","Clupea harengus",2013,21754.521648166,60,0.993333333333333,59.6
"Baltic Sea","Clupea harengus",2014,38799.401665952,59,0.996610169491525,58.8
"Baltic Sea","Clupea harengus",2015,43347.992660786,56,0.989285714285714,55.4
"Baltic Sea","Clupea harengus",2016,29132.782988073,60,0.98,58.8
"Baltic Sea","Clupea harengus",2017,22291.290407857,58,1,58
"Baltic Sea","Clupea harengus",2018,30811.85142401,59,0.986440677966102,58.2
"Baltic Sea","Clupea harengus",2019,24662.057478017,61,0.99016393442623,60.4
"Baltic Sea","Sprattus sp",1984,18360.512444684,51,0.909803921568627,46.4
"Baltic Sea","Sprattus sp",1985,10618.309149536,46,0.882608695652174,40.6
"Baltic Sea","Sprattus sp",1986,8178.999067116,39,0.861538461538462,33.6
"Baltic Sea","Sprattus sp",1987,11078.564235904,49,0.873469387755102,42.8
"Baltic Sea","Sprattus sp",1988,8296.654058054,45,0.991111111111111,44.6
"Baltic Sea","Sprattus sp",1990,19114.229631814,55,0.930909090909091,51.2
"Baltic Sea","Sprattus sp",1991,75353.568245317,45,0.951111111111111,42.8
"Baltic Sea","Sprattus sp",1992,60257.230798687,43,0.981395348837209,42.2
"Baltic Sea","Sprattus sp",1993,25769.073491157,10,1,10
"Baltic Sea","Sprattus sp",1994,84362.609942982,52,0.980769230769231,51
"Baltic Sea","Sprattus sp",1995,117629.116383081,42,1,42
"Baltic Sea","Sprattus sp",1996,116273.371818686,50,0.972,48.6
"Baltic Sea","Sprattus sp",1997,77476.23463734,31,1,31
"Baltic Sea","Sprattus sp",1998,96000.915025618,51,0.980392156862745,50
"Baltic Sea","Sprattus sp",1999,103248.529196303,59,0.969491525423729,57.2
"Baltic Sea","Sprattus sp",2000,72265.657783879,56,0.989285714285714,55.4
"Baltic Sea","Sprattus sp",2001,50440.760282849,57,0.996491228070175,56.8
"Baltic Sea","Sprattus sp",2002,81173.931713344,55,0.992727272727273,54.6
"Baltic Sea","Sprattus sp",2003,146242.386414343,55,1,55
"Baltic Sea","Sprattus sp",2004,85923.314340901,56,0.978571428571429,54.8
"Baltic Sea","Sprattus sp",2005,98861.454238118,56,0.982142857142857,55
"Baltic Sea","Sprattus sp",2006,105096.094909123,56,1,56
"Baltic Sea","Sprattus sp",2007,62070.756676458,60,1,60
"Baltic Sea","Sprattus sp",2008,111414.079600084,59,1,59
"Baltic Sea","Sprattus sp",2009,72731.810113626,61,1,61
"Baltic Sea","Sprattus sp",2010,50322.092130295,60,0.993333333333333,59.6
"Baltic Sea","Sprattus sp",2011,66071.891425151,61,0.99344262295082,60.6
"Baltic Sea","Sprattus sp",2012,55749.793500416,60,0.993333333333333,59.6
"Baltic Sea","Sprattus sp",2013,35672.231500511,55,1,55
"Baltic Sea","Sprattus sp",2014,89328.119551427,59,0.979661016949153,57.8
"Baltic Sea","Sprattus sp",2015,90202.870257903,57,0.978947368421053,55.8
"Baltic Sea","Sprattus sp",2016,70559.412299395,60,0.996666666666667,59.8
"Baltic Sea","Sprattus sp",2017,112973.803754193,59,0.993220338983051,58.6
"Baltic Sea","Sprattus sp",2018,56747.245442601,60,1,60
"Baltic Sea","Sprattus sp",2019,82489.293809771,61,0.99016393442623,60.4
